Time stamp,Water volume in tunnel V (m3),Inflow to tunnel F1 (m3/15 min),Outflow (m3/15 min),Pump efficiency 1.1 (kW),Pump efficiency 1.2 (kW),Pump efficiency 1.3 (kW),Pump efficiency 1.4 (kW),Pump efficiency 2.1 (kW),Pump efficiency 2.2 (kW),Pump efficiency 2.3 (kW),Pump efficiency 2.4 (kW),Pump flow 1.1 (m3/15 min),Pump flow 1.2 (m3/15 min),Pump flow 1.3 (m3/15 min),Pump flow 1.4 (m3/15 min),Pump flow 2.1 (m3/15 min),Pump flow 2.2 (m3/15 min),Pump flow 2.3 (m3/15 min),Pump flow 2.4 (m3/15 min),Electricity price 2: normal (EUR/kWh),Electricity price 1: high (EUR/kWh)
2024-11-15 00:00:00,10064.9892578125,1454.531127929690001110429875552654266357421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290999999999999980904163976447307504713535308837890625,3.38300000000000000710542735760100185871124267578125
2024-11-15 00:15:00,11519.52038574219000111042988,1454.531127929690001110429875552654266357421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290999999999999980904163976447307504713535308837890625,3.38300000000000000710542735760100185871124267578125
2024-11-15 00:30:00,12947.54101562500000000000000,1428.020629882809998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290999999999999980904163976447307504713535308837890625,3.38300000000000000710542735760100185871124267578125
2024-11-15 00:45:00,14353.62170410155999888957012,1406.080688476559998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290999999999999980904163976447307504713535308837890625,3.38300000000000000710542735760100185871124267578125
2024-11-15 01:00:00,15722.76428222655999888957012,1369.142578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321000000000000007549516567451064474880695343017578125,2.869000000000000216715534406830556690692901611328125
2024-11-15 01:15:00,17051.56652832030999888957012,1328.80224609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321000000000000007549516567451064474880695343017578125,2.869000000000000216715534406830556690692901611328125
2024-11-15 01:30:00,18303.44458007811999777914024,1251.878051757809998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321000000000000007549516567451064474880695343017578125,2.869000000000000216715534406830556690692901611328125
2024-11-15 01:45:00,19557.34655761717999666871036,1253.901977539059998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321000000000000007549516567451064474880695343017578125,2.869000000000000216715534406830556690692901611328125
2024-11-15 02:00:00,20779.03381347655999888957011,1221.68725585938000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296999999999999986233234494648058898746967315673828125,3.688000000000000166977542903623543679714202880859375
2024-11-15 02:15:00,21941.65161132811999777914023,1162.617797851559998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296999999999999986233234494648058898746967315673828125,3.688000000000000166977542903623543679714202880859375
2024-11-15 02:30:00,23020.37597656249999999999998,1078.72436523438000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296999999999999986233234494648058898746967315673828125,3.688000000000000166977542903623543679714202880859375
2024-11-15 02:45:00,24054.89196777344000111042986,1034.515991210940001110429875552654266357421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296999999999999986233234494648058898746967315673828125,3.688000000000000166977542903623543679714202880859375
2024-11-15 03:00:00,25044.59204101562795585778075,989.70007324218795474735088646411895751953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294999999999999984456877655247808434069156646728515625,3.625
2024-11-15 03:15:00,25988.69848632812795585778075,944.1064453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294999999999999984456877655247808434069156646728515625,3.625
2024-11-15 03:30:00,26885.20739746094091060513164,896.50891113281295474735088646411895751953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294999999999999984456877655247808434069156646728515625,3.625
2024-11-15 03:45:00,27742.17602539062886535248253,856.96862792968795474735088646411895751953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294999999999999984456877655247808434069156646728515625,3.625
2024-11-15 04:00:00,28549.68298339844182009983342,807.50695800781295474735088646411895751953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34399999999999997246646898929611779749393463134765625,3.563000000000000166977542903623543679714202880859375
2024-11-15 04:15:00,29308.63366699219182009983342,758.95068359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34399999999999997246646898929611779749393463134765625,3.563000000000000166977542903623543679714202880859375
2024-11-15 04:30:00,30016.82910156250477484718431,708.19543457031295474735088646411895751953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34399999999999997246646898929611779749393463134765625,3.563000000000000166977542903623543679714202880859375
2024-11-15 04:45:00,30664.12927246094272959453520,647.30017089843795474735088646411895751953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34399999999999997246646898929611779749393463134765625,3.563000000000000166977542903623543679714202880859375
2024-11-15 05:00:00,31284.01171875000568434188609,619.88244628906295474735088646411895751953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3649999999999999911182158029987476766109466552734375,3.66500000000000003552713678800500929355621337890625
